id,title,source,date,tags,url,notes,icon,verified,added_by
1,Crypto Theses for 2025,Messari,2024-12-18,"Annual Report,Research",https://messari.io/report/the-crypto-theses-2025,,📊,FALSE,
2,State of Crypto Report 2024,a16z Crypto,2024-10-16,"Annual Report,Infrastructure",https://a16zcrypto.com/posts/article/state-of-crypto-report-2024/,,🚀,FALSE,
3,Bitcoin as a Unique Diversifier,BlackRock,2024-09-17,"Bitcoin,Macro",https://www.blackrock.com/us/financial-professionals/insights/bitcoin-unique-diversifier,,⬛,FALSE,
4,Grayscale Research: Crypto Sectors,Grayscale,2024-08-21,"Analytics",https://www.grayscale.com/research/reports/grayscale-research-crypto-sectors,,◻️,FALSE,
5,Galaxy Research: Bitcoin Mining Update,Galaxy Digital,2024-11-15,"Bitcoin",https://www.galaxy.com/insights/research/,,🌌,FALSE,
6,Fidelity: Bitcoin First Revisited,Fidelity Digital Assets,2024-10-30,"Bitcoin,Macro",https://www.fidelitydigitalassets.com/research-and-insights/bitcoin-first-revisited,,🏛️,FALSE,
7,VanEck: Ethereum Roadmap Analysis,VanEck,2024-09-20,"Ethereum",https://www.vaneck.com/us/en/blogs/digital-assets/,,🔷,FALSE,
8,Chainalysis Crypto Crime Report 2024,Chainalysis,2024-01-24,"Regulation,Annual Report,Analytics",https://www.chainalysis.com/blog/2024-crypto-crime-report-introduction/,,🔒,FALSE,
9,Glassnode: The Week On-Chain,Glassnode,2025-02-03,"Bitcoin,Analytics",https://insights.glassnode.com/the-week-onchain-week-6-2025/,,💎,FALSE,
10,The Block Research: State of DeFi,The Block Research,2024-12-15,"DeFi,Analytics",https://www.theblock.co/data/decentralized-finance/overview,,📰,FALSE,
11,Dune Analytics: L2 Ecosystem Report,Dune Analytics,2024-11-20,"L2s,Ethereum,Analytics",https://dune.com/blog/the-state-of-layer-2s,,🔮,FALSE,
12,Token Terminal: Protocol Revenue Rankings,Token Terminal,2024-12-01,"DeFi,Analytics",https://tokenterminal.com/resources/crypto-research,,📈,FALSE,
13,Nansen: Smart Money Analysis,Nansen,2024-10-15,"DeFi,Analytics",https://www.nansen.ai/research,,🔍,FALSE,
14,Delphi Digital: Solana Ecosystem Report,Delphi Digital,2024-11-28,"Infrastructure",https://members.delphidigital.io/reports,,☀️,FALSE,
15,Bankless: Ultimate Guide to Restaking,Bankless,2024-06-15,"DeFi,Ethereum",https://www.bankless.com/the-ultimate-guide-to-restaking,,🏴,FALSE,
16,CoinGecko: Annual Crypto Report 2024,CoinGecko,2025-01-10,"Annual Report,Analytics",https://www.coingecko.com/research/publications/2024-annual-crypto-report,,🦎,FALSE,
17,Electric Capital: Developer Report,Electric Capital,2024-10-25,"Annual Report,Infrastructure",https://www.developerreport.com/,,⚡,FALSE,
18,Coin Metrics: State of the Network,Coin Metrics,2025-02-01,"Analytics,Bitcoin",https://coinmetrics.substack.com/,,📐,FALSE,
